DB00001,inhibitor,P00734
DB00002,antagonist,P00533
DB00002,None,O75015
DB00002,None,P02745
DB00002,None,P02746
DB00002,None,P02747
DB00002,None,P08637
DB00002,None,P12314
DB00002,None,P12318
DB00004,binder,P01589
DB00004,agonist,P14784
DB00004,None,P31785
DB00005,antibody,P01375
DB00005,ligand,P12314
DB00005,ligand,P12318
DB00005,ligand,P31994
DB00005,ligand,P31995
DB00005,ligand,P08637
DB00005,ligand,O75015
DB00005,antibody,P01374
DB00005,ligand,P02745
DB00006,inhibitor,P00734
DB00007,agonist,P30968
DB00008,agonist,P48551
DB00008,agonist,P17181
DB00009,activator,P00747
DB00009,None,P02671
DB00009,None,Q03405
DB00009,None,P05121
DB00011,agonist,P48551
DB00011,agonist,P17181
DB00012,agonist,P19235
DB00013,activator,P00747
DB00013,inducer,Q03405
DB00013,substrate,P05121
DB00013,substrate,P05120
DB00013,substrate,P05154
DB00013,substrate,P98164
DB00013,substrate,Q9Y5Y6
DB00013,ligand,P14543
DB00014,agonist,P22888
DB00014,agonist,P30968
DB00015,activator,P00747
DB00015,None,P02671
DB00015,None,P05121
DB00016,agonist,P19235
DB00017,agonist,P30988
DB00018,agonist,P17181
DB00018,agonist,P48551
DB00019,agonist,Q99062
DB00020,agonist,P15509
DB00020,agonist,P26951
DB00020,agonist,P32927
DB00020,agonist,P34741
DB00020,None,P13727
DB00022,agonist,P17181
DB00022,agonist,P48551
DB00024,agonist,P16473
DB00025,activator,P00742
DB00025,cofactor,P00740
DB00025,binder,P04275
DB00025,antagonist,O14832
DB00025,binder,P07307
DB00025,chaperone,P11021
DB00025,chaperone,P27797
DB00025,chaperone,P27824
DB00025,chaperone,P49257
DB00025,modulator,Q07954
DB00025,modulator,Q8NI22
DB00026,antagonist,P14778
DB00028,antagonist,P12314
DB00028,antagonist,Q92637
DB00028,antagonist,P12318
DB00028,antagonist,P31994
DB00028,antagonist,P31995
DB00028,antagonist,P08637
DB00028,antagonist,O75015
DB00028,binder,P01024
DB00028,binder,P0C0L4
DB00028,binder,P0C0L5
DB00028,binder,P01031
DB00029,activator,P00747
DB00029,None,P02671
DB00029,None,P05121
DB00030,agonist,P06213
DB00030,None,P08069
DB00030,None,P06400
DB00030,modulator,P16870
DB00031,activator,P00747
DB00031,None,P02671
DB00031,None,Q03405
DB00031,None,P05121
DB00031,None,P05120
DB00031,None,P05452
DB00031,None,P05787
DB00031,None,P07355
DB00031,None,P27797
DB00031,None,P27824
DB00031,None,Q07954
DB00033,binder,P15260
DB00033,binder,P38484
DB00034,None,P17181
DB00034,None,P48551
DB00035,agonist,P30518
DB00035,None,P37288
DB00035,None,P47901
DB00036,None,P00742
DB00036,None,P10646
DB00036,None,P38435
DB00036,None,P08709
DB00036,None,P13726
DB00039,binder,P21802
DB00039,None,O14786
DB00039,None,P11362
DB00039,None,P22455
DB00039,None,P22607
DB00039,None,P98160
DB00040,agonist,P47871
DB00040,agonist,O95838
DB00040,agonist,P43220
DB00041,agonist,P14784
DB00041,agonist,P01589
DB00041,agonist,P31785
DB00042,binder,P63027
DB00042,binder,P23763
DB00042,None,Q8N9I0
DB00043,inhibitor,P12319
DB00043,inhibitor,Q01362
DB00046,agonist,P06213
DB00046,None,P08069
DB00047,agonist,P06213
DB00047,None,P08069
DB00048,None,P02452
DB00048,None,P02458
DB00048,None,P02461
DB00048,None,P08123
DB00051,antibody,P01375
DB00052,binder,P10912
DB00052,None,P16471
DB00054,antagonist,P05106
DB00054,antagonist,P08514
DB00054,None,P12318
DB00054,None,P31994
DB00054,None,P04004
DB00055,multitarget,P00451
DB00055,multitarget,P12259
DB00055,None,P05121
DB00055,None,P07204
DB00055,None,P07225
DB00055,None,P00734
DB00055,None,P02776
DB00055,None,P05154
DB00055,None,P35237
DB00055,None,Q9UNN8
DB00056,antibody,P20138
DB00056,None,O75015
DB00056,None,P08637
DB00056,None,P12314
DB00058,inhibitor,P08246
DB00060,agonist,P17181
DB00060,None,P48551
DB00061,binder,P62993
DB00063,None,P05106
DB00065,inhibitor,P01375
DB00066,agonist,P23945
DB00067,agonist,P30518
DB00067,None,P37288
DB00067,None,P47901
DB00068,agonist,P17181
DB00068,agonist,P48551
DB00069,binder,P17181
DB00069,binder,P48551
DB00070,inhibitor,P01137
DB00071,binder,P06213
DB00071,None,P08069
DB00071,None,P14735
DB00071,None,P01906
DB00071,None,P01920
DB00071,None,P06400
DB00071,None,P07339
DB00071,None,P16870
DB00071,None,P16519
DB00071,None,P29120
DB00071,None,P48745
DB00071,None,P98164
DB00071,None,Q16270
DB00071,None,Q96C24
DB00072,antibody,P04626
DB00073,antibody,P11836
DB00074,antibody,P01589
DB00074,antibody,P14784
DB00075,None,P04234
DB00075,binder,P07766
DB00075,None,P09693
DB00075,None,P20963
DB00075,None,O75015
DB00078,antibody,P11836
DB00081,antibody,P11836
DB00081,None,P31994
DB00082,antagonist,P10912
DB00083,inhibitor,P60880
DB00083,None,P62745
DB00086,activator,P00747
DB00086,cleavage,P25116
DB00087,antibody,P31358
DB00087,None,O75015
DB00087,None,P08637
DB00087,None,P12314
DB00087,None,P12318
DB00087,None,P31994
DB00087,None,P31995
DB00089,other/unknown,Q04609
DB00091,binder,P49069
DB00091,inhibitor,Q96LZ3
DB00091,inhibitor,P62937
DB00091,binder,P30405
DB00092,inhibitor,P06729
DB00092,None,P08637
DB00092,None,O75015
DB00095,antibody,P20701
DB00095,antibody,P20702
DB00098,inhibitor,P06126
DB00098,antagonist,Q95460
DB00098,None,P20701
DB00098,binder,P42081
DB00098,None,P31994
DB00098,None,P01730
DB00098,None,P05556
DB00098,None,P06756
DB00098,None,P05106
DB00099,stimulator,Q99062
DB00099,other/unknown,P08246
DB00100,activator,P00742
DB00100,ligand,P03951
DB00100,ligand,P08709
DB00100,cofactor,P00451
DB00100,None,P00734
DB00100,None,Q07954
DB00100,None,P38435
DB00105,binder,P48551
DB00105,binder,P17181
DB00107,agonist,P30559
DB00107,binder,P01178
DB00108,antibody,P13612
DB00108,None,O75015
DB00108,None,P05362
DB00108,None,P12314
DB00110,None,P13843
DB00110,None,O75015
DB00110,None,P00736
DB00110,None,P02745
DB00110,None,P02746
DB00110,None,P02747
DB00110,None,P08637
DB00110,None,P12314
DB00110,None,P31994
DB00112,None,P15692
DB00112,None,P02745
DB00112,None,P02746
DB00112,None,P02747
DB00112,None,P08637
DB00112,None,P12314
DB00112,None,P12318
DB00112,None,P31994
DB00112,None,P31995
DB00115,cofactor,Q99707
DB00115,cofactor,P22033
DB00115,cofactor,Q9UBK8
DB00115,binder,Q8IVH4
DB00115,cofactor,Q9Y4U1
DB00115,cofactor,P42898
DB00118,cofactor,Q14749
DB00118,cofactor,P17707
DB00118,cofactor,P31153
DB00118,activator,P35520
DB00118,cofactor,Q00266
DB00118,cofactor,P21964
DB00118,None,Q8N1G2
DB00118,None,Q9HBK9
DB00120,None,P17735
DB00120,None,Q9UHI5
DB00120,None,Q9Y285
DB00120,None,P00439
DB00120,None,O95363
DB00120,None,Q9NSD9
DB00120,binder,P07101
DB00122,product of,Q9Y5K3
DB00122,product of,P22303
DB00122,product of,P49585
DB00122,product of,O14939
DB00122,product of,P06276
DB00122,product of,Q13393
DB00122,product of,Q8TCT1
DB00122,None,P36544
DB00126,inhibitor,Q54873
DB00126,substrate,P24300
DB00126,cofactor,O00469
DB00126,cofactor,O14832
DB00126,cofactor,O60568
DB00126,cofactor,O75936
DB00126,cofactor,P09172
DB00126,cofactor,P19021
DB00126,cofactor,Q32P28
DB00126,cofactor,Q8IVL5
DB00126,cofactor,Q8IVL6
DB00126,cofactor,P13674
DB00126,cofactor,Q8N543
DB00126,cofactor,Q6N063
DB00126,activator,Q6NS38
DB00126,activator,Q96Q83
DB00126,cofactor,Q9BY66
DB00126,cofactor,Q02809
DB00126,cofactor,Q9NVH6
DB00126,cofactor,Q9NXG6
DB00126,chaperone,Q9GZT9
DB00126,chaperone,Q96KS0
DB00126,chaperone,Q9H6Z9
DB00130,antagonist,P17812
DB00130,substrate,Q06203
DB00130,product of,P15104
DB00132,ligand,O60427
DB00132,ligand,O95864
DB00132,None,P32418
DB00132,inhibitor,Q8NER1
DB00132,None,Q07869
DB00132,agonist,Q96RI1
DB00132,None,Q03181
DB00132,None,P37231
DB00132,None,P19793
DB00132,substrate,Q9NXB9
DB00132,substrate,Q9NYP7
DB00134,product of,Q9UBK8
DB00134,product of,Q99707
DB00134,product of,P50579
DB00134,product of,Q93088
DB00134,product of,Q9H2M3
DB00136,antagonist,P11473
DB00136,None,P31260
DB00139,None,Q9BXA5
DB00139,inhibitor,P51649
DB00140,ligand,Q969G6
DB00140,other,P0AFU8
DB00140,product of,P30043
DB00142,None,Q13255
DB00142,None,Q14833
DB00142,None,Q16099
DB00142,None,Q16478
DB00142,None,Q14831
DB00142,None,O00222
DB00142,None,O00341
DB00142,None,O14841
DB00142,None,O15067
DB00142,None,O15382
DB00142,None,O15399
DB00142,None,O94925
DB00142,None,P00505
DB00142,None,P07814
DB00142,None,P08243
DB00142,None,P15104
DB00142,None,P17174
DB00142,None,P17735
DB00142,None,P24298
DB00142,None,P38435
DB00142,None,P43003
DB00142,None,P43004
DB00142,None,P43005
DB00142,substrate,P48506
DB00142,None,P48664
DB00142,substrate,P49448
DB00142,None,P49915
DB00142,None,P54687
DB00142,None,P80404
DB00142,None,Q05586
DB00142,None,Q05932
DB00142,None,Q07075
DB00142,None,Q12879
DB00142,None,Q13224
DB00142,None,Q14957
DB00142,None,Q5JPH6
DB00142,product of,Q6IA69
DB00142,None,Q8N159
DB00142,None,Q8N5Z0
DB00142,None,Q8TCU5
DB00142,substrate,Q8TD30
DB00142,None,Q9UDR5
DB00142,None,Q9UI32
DB00142,None,Q9ULA0
DB00142,None,Q9UPY5
DB00142,None,Q9Y646
DB00142,None,Q9Y617
DB00142,None,P00367
DB00142,None,P39086
DB00142,None,P42261
DB00142,None,P48507
DB00142,None,Q04609
DB00142,None,Q05329
DB00142,None,Q99259
DB00142,None,O95954
DB00142,None,P42262
DB00142,None,P42263
DB00142,None,P48058
DB00142,None,P54886
DB00142,None,Q13002
DB00142,None,Q13003
DB00145,substrate,O75600
DB00145,substrate,P13196
DB00145,substrate,P22557
DB00145,substrate,P41250
DB00145,antagonist,Q12879
DB00145,substrate,Q14032
DB00145,substrate,Q14330
DB00145,substrate,P48637
DB00145,agonist,Q14957
DB00145,substrate,Q6IB77
DB00145,product of,P34897
DB00145,substrate,Q8WU03
DB00145,substrate,Q969I3
DB00145,product of,Q9BYV1
DB00145,product of,Q9P0Z9
DB00145,substrate,O60391
DB00145,ligand,P23415
DB00145,substrate,P21549
DB00145,ligand,P48167
DB00145,product of,P34896
DB00145,ligand,O75311
DB00145,ligand,P23416
DB00145,substrate,Q14749
DB00145,substrate,P50440
DB00146,agonist,P11473
DB00150,inhibitor,Q9UGM6
DB00150,inhibitor,P00953
DB00150,inhibitor,P23381
DB00152,substrate,Q9H3S4
DB00153,agonist,P11473
DB00153,inducer,Q06432
DB00155,None,P00966
DB00155,None,O95865
DB00155,None,O94760
DB00155,None,P00480
DB00155,None,P29475
DB00155,None,P35228
DB00155,None,P29474
DB00155,product of,Q6TGC4
DB00155,None,Q9ULC6
DB00155,None,Q9ULW8
DB00155,None,Q9Y2J8
DB00155,None,Q9UM07
DB00158,binder,P41439
DB00158,binder,P14207
DB00158,None,P15328
DB00159,inhibitor,P35354
DB00159,inhibitor,P23219
DB00159,agonist,P37231
DB00159,agonist,Q03181
DB00159,agonist,O60427
DB00159,inducer,O60488
DB00159,agonist,O14842
DB00159,inhibitor,P32418
DB00159,inducer,Q8NER1
DB00159,None,Q07869
DB00162,substrate,Q96NR8
DB00162,substrate,O75911
DB00162,substrate,P47895
DB00162,substrate,Q6NUM9
DB00162,substrate,Q8TC12
DB00162,substrate,Q9BTZ2
DB00162,substrate,Q9HBH5
DB00162,substrate,Q9NYR8
DB00162,substrate,O95237
DB00162,substrate,Q92781
DB00162,substrate,Q8NBN7
DB00162,substrate,O94788
DB00162,substrate,P00352
DB00162,ligand,P05090
DB00162,ligand,P41222
DB00163,None,O75469
DB00163,None,P05771
DB00163,None,P09917
DB00163,None,P17252
DB00163,None,P23743
DB00163,None,P62714
DB00163,None,P67775
DB00163,None,Q9UDX3
DB00163,None,Q9UDX4
DB00163,None,O76054
DB00165,ligand,O00764
DB00166,None,Q9Y234
DB00166,None,O43766
DB00166,None,Q9Y289
DB00169,agonist,P11473
DB00170,cofactor,P38435
DB00170,cofactor,Q9BQB6
DB00170,cofactor,Q8N0U8
DB00170,activator,P00734
DB00170,activator,P00740
DB00170,activator,P04070
DB00170,activator,P07225
DB00170,None,P16083
DB00170,None,P15559
DB00170,agonist,P02818
DB00173,None,P07741
DB00173,None,P0AF12
DB00173,None,O00763
DB00173,None,P24666
DB00173,None,Q9BY49
DB00173,None,P17802
DB00173,None,P78362
DB00173,None,Q5SL87
DB00173,None,Q13126
DB00173,None,Q05603
DB00175,inhibitor,P04035
DB00175,inhibitor,Q92769
DB00176,inhibitor,P31645
DB00176,None,Q12809
DB00177,antagonist,P30556
DB00178,inhibitor,P12821
DB00178,None,P46663
DB00179,inhibitor,P09917
DB00179,None,P04278
DB00180,agonist,P04150
DB00181,agonist,Q9UBS5
DB00181,agonist,O75899
DB00182,inhibitor,Q05940
DB00182,negative modulator,Q01959
DB00182,agonist,Q16568
DB00182,agonist,Q96RJ0
DB00182,stimulator,P23975
DB00182,agonist,P35348
DB00182,agonist,P08588
DB00182,binder,P14416
DB00182,inhibitor,P27338
DB00182,binder,P31645
DB00182,inhibitor,P21397
DB00184,agonist,P43681
DB00184,agonist,P36544
DB00184,agonist,P17787
DB00184,agonist,Q15822
DB00184,agonist,P32297
DB00184,agonist,P30532
DB00184,agonist,Q15825
DB00184,agonist,Q9UGM1
DB00184,agonist,Q9GZZ6
DB00184,agonist,Q05901
DB00184,agonist,P30926
DB00184,inhibitor,P11511
DB00184,inhibitor,P28329
DB00185,agonist,P20309
DB00185,agonist,P11229
DB00186,positive allosteric modulator,P14867
DB00186,ligand,P14867
DB00187,antagonist,P08588
DB00188,inhibitor,P28074
DB00188,inhibitor,P20618
DB00189,positive allosteric modulator,P14867
DB00190,inhibitor,P20711
DB00191,inhibitor,P23975
DB00191,inhibitor,P31645
DB00191,inhibitor,Q01959
